,Title,Brand,design,conn,Use,Num_reviews,rating,Price,country,segment
391,audifonos motorola earbuds negro,MOTOROLA,in-ear,wire,No-gamer,24.0,4.5,37900,USA,Mobil accessories
394,audifonos inalambricos sennheiser hd 4.40bt negro,SENNHEISER,Headphones,bluetooth,No-gamer,37.0,4.5,562759,Germany,high-end
396,audifonos bluetooth sony  in-ear - wi-c310,SONY,in-ear,bluetooth,No-gamer,0.0,4.5,299902,Japan,high-end
398,audifonos gamer inalambricos logitech g series g435 negro y amarillo fluorescente,LOGITECH,Headphones,bluetooth,gamer,49.0,4.5,387112,Swiss,high-end
401,"audifonos diadema manos libres motorola moto xt120, plug 3.5",MOTOROLA,in-ear,wire,No-gamer,22.0,4.5,70000,USA,Mobil accessories
402,audifonos inalambricos aftershokz air slate gray,AFTERSHOKZ,Headphones,bluetooth,No-gamer,26.0,4.5,1162900,USA,high-end
403,maxell audifo ec-155 ear clip flat cable w/ mic blue,MAXELL,Headphones,wire,No-gamer,0.0,4.5,32900,Japan,Mobil accessories
404,audifonos in-ear sony ex series mdr-ex15lp negro,SONY,in-ear,wire,No-gamer,245.0,4.5,113990,Japan,high-end
406,audifonos lenovo he05 bluetooth inalambrico banda de cuello ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,48999,China,Mobil accessories
407,audifonos inalambricos jbl tune 710bt blanco,JBL,Headphones,bluetooth,No-gamer,22.0,4.5,507550,USA,high-end
409,apple airpods max - azul cielo,APPLE,in-ear,wire,No-gamer,13.0,4.5,4335900,USA,Mobil accessories
411,audifonos in-ear sony ex series mdr-ex15lp purpura,SONY,in-ear,wire,No-gamer,245.0,4.5,26900,Japan,high-end
413,audifonos akg k92 matte black,AKG,Headphones,wire,No-gamer,48.0,4.5,289000,Austria,high-end
414,audifonos in-ear gamer inalam xiaomi redmi buds 3 lite negro,XIAOMI,in-ear,wire,gamer,0.0,4.5,96900,China,Mobil accessories
416,audifonos redmi airdotspro bluetooth 5.0 control touch,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,54900,China,Other
419,audifonos inalambricos marshall major iv negro,MARSHALL,Headphones,bluetooth,No-gamer,0.0,4.5,995900,UK,high-end
424,audifonos in-ear inalambricos apple beats studio buds negro,BEATS,in-ear,bluetooth,No-gamer,0.0,4.5,1042900,USA,high-end
425,"diadema manos libres audifonos motorola moto xt120, plug 3.5",MOTOROLA,in-ear,wire,No-gamer,0.0,4.5,74900,USA,Mobil accessories
427,audifonos in-ear gamer inalambricos xiaomi redmi buds 3 lite,XIAOMI,in-ear,bluetooth,gamer,0.0,4.5,94999,China,Mobil accessories
428,audifonos xiaomi redmi buds 3 pro negros,XIAOMI,Headphones,wire,No-gamer,0.0,4.5,199900,China,Mobil accessories
430,audifonos in-ear inalambricos jbl tune 215tws negro,JBL,in-ear,bluetooth,No-gamer,8.0,4.5,302900,USA,high-end
432,audifonos gamer inalambricos lenovo lp7 negro,LENOVO,Headphones,bluetooth,gamer,184.0,4.5,106134,China,Mobil accessories
433,audifonos behringer hps3000 negro y plateado,BEHRINGER,Headphones,wire,No-gamer,20.0,4.5,124900,Germany,professional
436,audifonos inalambricos aftershokz aeropex standard lunar gray,AFTERSHOKZ,Headphones,bluetooth,No-gamer,70.0,4.5,1115000,USA,high-end
438,audifonos 100% lenovo xt95 pro gaming bluetooth negro ya!!,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,106900,China,Mobil accessories
442,"audifonos inhalambricos 5.1 conduccion osea micro sd, 8horas",OTHER,Headphones,wire,No-gamer,0.0,4.5,61900,China,Other
443,audifonos sony mdr-7506 negro,SONY,Headphones,wire,No-gamer,13.0,4.5,615770,Japan,high-end
444,auriculares audifonos oppo blanco,OPPO,Headphones,wire,No-gamer,0.0,4.5,45600,China,Mobil accessories
445,audifonos inalambricos jbl tune 600 btnc blanco,JBL,Headphones,bluetooth,No-gamer,41.0,4.5,248865,USA,high-end
446,audifonos deportivos samsung itfit a08c,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,72402,Korea,Mobil accessories
450,audifonos para samsung excelente calidad,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,18990,Korea,Mobil accessories
452,audifonos inalambricos soundcore life series life q35 negro,SOUNDCORE,Headphones,bluetooth,No-gamer,0.0,4.5,545859,China,high-end
